report_number,date_received,event_type,brand,generic,model,problem,narrative
3004193489-2009-00121,20090626,Other,BD PARADIGM LINK GLUCOSE MONITOR,GLUCOSE MONITOR,NA,Improper or Incorrect Procedure or Method,"IT WAS REPORTED TO NOVA BIOMEDICAL THAT A CONSUMER PERCEIVED A RESULT OF 'HI' (GREATER THAN 600 MG/DL) ON THEIR BLOOD GLUCOSE METER. THE CONSUMER ADMINISTERED AN UNK AMOUNT OF INSULIN BASED ON THAT READING. SHE SUBSEQUENTLY EXPERIENCED A HYPOGLYCEMIC EVENT WHICH DID NOT REQUIRE MEDICAL INTERVENTION. THE CONSUMER ATE PROTEIN BARS AND DRANK ORANGE JUICE TO RAISE HIS BLOOD GLUCOSE LEVEL. DURING THE CALL TO CUSTOMER SUPPORT, IT WAS REVEALED THAT THE CONSUMER DOES NOT CONTROL SOLUTION TEST THEIR TEST STRIPS FOR INTEGRITY BEFORE USE AS INSTRUCTED IN OUR DIRECTIONS FOR USE. IT WAS ALSO REVEALED THAT THE CONSUMER IMPROPERLY STORES THE TEST STRIPS, WHICH MAY CONTRIBUTE TO A LOSS OF INTEGRITY OF THE TEST STRIPS. IT WAS DETERMINED THAT THE CONSUMER WAS TESTING WITH EXPIRED STRIPS, THE CONSUMER WAS EDUCATED ON THESE DIRECTIONS FOR USE AT THE TIME OF CALL. THE METER AND TEST STRIPS IN QUESTION WILL B | NOVA BIOMEDICAL AWAITS THE RETURN OF THE DEVICE FOR EVALUATION. SHOULD ANY SIGNIFICANT FINDINGS BE A RESULT OF THAT INVESTIGATION, A FOLLOW-UP REPORT WILL BE FILED."
3004193489-2009-00120,20090626,Other,BD PARADIGM LINK GLUCOSE MONITOR,GLUCOSE MONITOR,NA,Improper or Incorrect Procedure or Method,"NOVA BIOMEDICAL AWAITS THE RETURN OF THE DEVICE FOR EVALUATION. SHOULD ANY SIGNIFICANT FINDINGS BE A RESULT OF THE INVESTIGATION, A FOLLOW-UP REPORT WILL BE FILED. | IT WAS REPORTED TO NOVA BIOMEDICAL THAT A CONSUMER ADMINISTERED APPROX 30 UNITS OF INSULIN BASED ON ""HI"" (GREATER THAN 600 MG/DL) READINGS OBTAINED ON THEIR BLOOD GLUCOSE METER. THE CONSUMER SUBSEQUENTLY EXPERIENCED A HYPOGLYCEMIC EVENT REQUIRING MEDICAL INTERVENTION. DURING THE CALL TO CUSTOMER SUPPORT, IT WAS REVEALED THAT THE CONSUMER DOES NOT CONTROL SOLUTION TEST FOR INTEGRITY BEFORE USE THEIR INITIAL TEST STRIPS AS INSTRUCTED IN OUR DIRECTIONS FOR USE. THE CONSUMER WAS EDUCATED ON THESE DIRECTIONS FOR USE AT THE TIME OF CALL. THE METER AND TEST STRIPS WILL BE RETURNED FOR EVALUATION."
3004193489-2009-00122,20090626,Other,NOVA MAX GLUCOSE MONITOR,GLUCOSE MONITOR,NA,Improper or Incorrect Procedure or Method,"IT WAS REPORTED TO NOVA BIOMEDICAL THAT A CONSUMER EXPERIENCED A HYPOGLYCEMIC EVENT REQUIRING MEDICAL INTERVENTION. DURING THE CALL TO CUSTOMER SUPPORT, IT WAS REVEALED THAT THE CONSUMER TRANSFERS TEST STRIPS FROM THE VIAL AND THEY ARE LOOSE IN THE TRAVEL CASE WHICH MAY CONTRIBUTE TO A LOSS OF INTEGRITY OF THE TEST STRIPS. THE CONSUMER WAS EDUCATED ON THESE DIRECTIONS FOR USE AT THE TIME OF CALL. THE METER IN QUESTION WILL BE RETURNED FOR EVALUATION, THE TEST STRIPS WERE DISCARDED BY THE CONSUMER. | NOVA BIOMEDICAL AWAITS THE RETURN OF THE DEVICE FOR EVALUATION. SHOULD ANY SIGNIFICANT FINDINGS BE A RESULT OF THAT INVESTIGATION, A FOLLOW-UP REPORT WILL BE FILED."
3004193489-2009-00119,20090626,Malfunction,BD LOGIC BLOOD GLUCOSE MONITOR,GLUCOSE MONITOR,NA,Use of Incorrect Control/Treatment Settings; Self-Activation or Keying,"NOVA BIOMEDICAL AWAITS THE RETURN OF THE DEVICE FOR EVAL. SHOULD ANY SIGNIFICANT FINDINGS BE A RESULT OF THAT INVESTIGATION, A FOLLOW-UP REPORT WILL BE FILED. | IT WAS REPORTED TO NOVA BIOMEDICAL THAT A CONSUMER'S BLOOD GLUCOSE METER SWITCHED UNITS OF MEASURE FROM MMOL/DL TO MG/DL. THE METER IN QUESTION WILL BE RETURNED FOR EVAL."
3004193489-2009-00107,20090612,Other,BD PARADIGM LINK GLUCOSE MONITOR,GLUCOSE MONITOR,NA,Inadequate Storage; Use of Device Problem,"IT WAS REPORTED TO NOVA BIOMEDICAL THAT A CONSUMER EXPERIENCED A HYPOGLYCEMIC EVENT REQUIRING MEDICAL INTERVENTION. DURING THE CALL TO CONSUMER SUPPORT, IT WAS REVEALED THAT THE CONSUMER DOES NOT CONTROL SOLUTION TEST FOR INTEGRITY BEFORE USE THEIR INITIAL TEST STRIPS AS INSTRUCTED IN OUR DIRECTIONS FOR USE. IT WAS ALSO REVEALED THAT THE CONSUMER IMPROPERLY STORES THEIR TEST STRIPS, WHICH MAY CONTRIBUTE TO THE LOSS OF INTEGRITY OF THE TEST STRIPS. THE CONSUMER WAS EDUCATED ON THESE DIRECTIONS FOR USE AT THE TIME OF CALL. THE METER AND TEST STRIPS WILL BE RETURNED FOR EVAL. | NOVA BIOMEDICAL AWAITS THE RETURN OF THE DEVICE FOR EVAL. SHOULD ANY SIGNIFICANT FINDINGS BE A RESULT OF THAT INVESTIGATION, A F/U REPORT WILL BE FILED."
3004193489-2009-00106,20090612,Other,BD PARADIGM LINK GLUCOSE MONITOR,GLUCOSE MONITOR,NA,Use of Device Problem,"NOVA BIOMEDICAL AWAITS THE RETURN OF THE DEVICE FOR EVAL. SHOULD ANY SIGNIFICANT FINDINGS BE A RESULT OF THAT INVESTIGATION, A F/U REPORT WILL BE FILED. | IT WAS REPORTED TO NOVA BIOMEDICAL THAT A CONSUMER EXPERIENCED A HYPOGLYCEMIC EVENT REQUIRING MEDICAL INTERVENTION. DURING THE CALL TO CUSTOMER SUPPORT, IT WAS REVEALED THAT THE CUSTOMER DOES NOT CONTROL SOLUTION TEST FOR INTEGRITY BEFORE USE THEIR INITIAL STRIPS AS INSTRUCTED IN OUR DIRECTIONS FOR USE. THE CONSUMER WAS EDUCATED ON THESE DIRECTIONS FOR USE AT THE TIME OF CALL. THE METER AND TEST STRIPS WILL BE RETURNED FOR EVAL."
3004193489-2009-00105,20090612,Other,BD PARADIGM LINK GLUCOSE MONITOR,GLUCOSE MONITOR,NA,Calibration Error; Use of Device Problem; High Test Results,"IT WAS REPORTED TO NOVA BIOMEDICAL THAT A CONSUMER RECEIVED A RESULT OF 318 MG/DL ON THEIR BLOOD GLUCOSE METER. THE CONSUMER CONTACTED HER HCP AND WAS ADVISED TO ADMINISTER 4 UNITS OF INSULIN. THE CONSUMER SUBSEQUENTLY EXPERIENCED A HYPOGLYCEMIC EVENT REQUIRING MEDICAL INTERVENTION. DURING THE CALL TO CUSTOMER SUPPORT, IT WAS REVEALED THAT THE CONSUMER'S BLOOD GLUCOSE METER IS IMPROPERLY CODED TO THE TEST STRIPS THAT THEY ARE USING. IT WAS ALSO REVEALED THAT THE CONSUMER DOES NOT CONTROL SOLUTION TEST FOR INTEGRITY BEFORE USE THEIR INITIAL TEST STRIPS AS INSTRUCTED IN OUR DIRECTIONS FOR USE. THE CONSUMER WAS EDUCATED ON THESE DIRECTIONS FOR USE AT THE TIME OF CALL. THE METER AND TEST STRIPS WILL BE RETURNED FOR EVALUATION. | NOVA BIOMEDICAL AWAITS THE RETURN OF THE DEVICE FOR EVALUATION. SHOULD ANY SIGNIFICANT FINDINGS BE A RESULT OF THAT INVESTIGATION, A FOLLOW-UP REPORT WILL BE FILED."
3004193489-2009-00104,20090612,Other,BD PARADIGM LINK GLUCOSE MONITOR,GLUCOSE MONITOR,NA,Insufficient Device Problem Information,"IT WAS REPORTED TO NOVA BIOMEDICAL THAT A CONSUMER EXPERIENCED A HYPOGLYCEMIC EVENT REQUIRING MEDICAL INTERVENTION. DURING THE CALL TO CUSTOMER SUPPORT, THE CONSUMER HAD SLURRED SPEECH AND AN ALERT CUSTOMER CARE REPRESENTATIVE ESTABLISHED THAT THE CONSUMER WAS ALONE. AT THAT TIME, THE REPRESENTATIVE CONTACTED 911 TO GET THE CONSUMER MEDICAL ASSISTANCE. WHEN THE EMTS ARRIVED, THEY ASSURED THE CUSTOMER CARE REP THAT THEY WOULD HANDLE THE EVENT FROM THERE. THE CALL WAS TERMINATED. SEVERAL ATTEMPTS WERE MADE TO CONTACT THE CONSUMER FOR FURTHER INFORMATION, NO ANSWER / NO VOICEMAIL. WHEN CONTACT WAS ESTABLISHED, IT WAS STATED THAT THE METER AND TEST STRIPS IN QUESTION WILL NOT BE RETURNED FOR EVALUATION, IN ALL THE CONFUSION THEY WERE MISPLACED. | NOVA BIOMEDICAL AWAITS THE RETURN OF THE DEVICE FOR EVALUATION. SHOULD ANY SIGNIFICANT FINDINGS BE A RESULT OF THAT INVESTIGATION, A FOLLOW-UP REPORT WILL BE FILED."
3004193489-2009-00109,20090612,Other,BD LOGIC BLOOD GLUCOSE MONITOR,GLUCOSE MONITOR,NA,Use of Device Problem,"IT WAS REPORTED TO NOVA BIOMEDICAL ON 06/09/2009, THAT A CONSUMER EXPERIENCED A HYPOGLYCEMIC EVENT REQUIRING MEDICAL INTERVENTION IN (B) (6) 2007. DURING THE CALL TO CUSTOMER SUPPORT, THE CONSUMER ADMITS HE COULD NOT RECALL ANY BLOOD GLUCOSE RESULTS OR HE HAD ADMINISTERED/TAKEN ANY MEDICATION. CONSUMER STATED HE DOES NOT REMEMBER TOO MUCH ABOUT THE EVENT BECAUSE IT WAS SO LONG AGO. IT WAS REVEALED THAT THE CONSUMER DOES NOT CONTROL SOLUTION TEST FOR INTEGRITY BEFORE USE THEIR INITIAL TEST STRIPS AS INSTRUCTED IN OUR DIRECTIONS FOR USE. THE CONSUMER WAS EDUCATED ON THESE DIRECTIONS FOR USE AT THE TIME OF CALL. THE METER IN QUESTION WILL BE RETURNED FOR EVALUATION. CONSUMER USED UP ALL THE TEST STRIPS THEREFORE, NO STRIPS WILL BE RETURNED. | NOVA BIOMEDICAL AWAITS THE RETURN OF THE DEVICE FOR EVALUATION. SHOULD ANY SIGNIFICANT FINDINGS BE A RESULT OF THAT INVESTIGATION, A FOLLOW-UP REPORT WILL BE FILED."
3004193489-2009-00108,20090612,Other,BD PARADIGM LINK GLUCOSE MONITOR,GLUCOSE MONITOR,NA,Inadequate Storage,"IT WAS REPORTED TO NOVA BIOMEDICAL THAT A CONSUMER EXPERIENCED A HYPOGLYCEMIC EVENT REQUIRING MEDICAL INTERVENTION. DURING THE CALL TO CUSTOMER SUPPORT, THE CONSUMER WAS DRIVING HIS CAR AND UNABLE TO PROVIDE LOT NUMBERS AND THE ACTUAL RESULTS FROM HIS METER. IT WAS DETERMINED THAT THE CONSUMER TRANSFERS TEST STRIPS FROM ONE VIAL TO ANOTHER VIAL WHICH MAY CONTRIBUTE TO A LOSS OF INTEGRITY OF TEST STRIPS. THE CONSUMER WAS EDUCATED ON THESE DIRECTIONS FOR USE AT THE TIME OF CALL. THE METER AND TEST STRIPS IN QUESTION WILL NOT BE RETURNED FOR EVALUATION DUE TO INABILITY TO CONTACT CONSUMER FOR FOLLOW-UP CALL. | NOVA BIOMEDICAL AWAITS THE RETURN OF THE DEVICE FOR EVALUATION. SHOULD ANY SIGNIFICANT FINDINGS BE A RESULT OF THAT INVESTIGATION, A FOLLOW-UP REPORT WILL BE FILED."
3004193489-2009-00111,20090612,Other,NOVA MAX GLUCOSE MONITOR,GLUCOSE MONITOR,NA,Inadequate Storage; Use of Device Problem,"IT WAS REPORTED TO NOVA BIOMEDICAL THAT A CONSUMER EXPERIENCED A HYPOGLYCEMIC EVENT REQUIRING MEDICAL INTERVENTION. DURING THE CALL TO CUSTOMER SUPPORT, IT WAS REVEALED THAT THE CONSUMER DOES NOT CONTROL SOLUTION TEST THEIR TEST STRIPS FOR INTEGRITY BEFORE USE AS INSTRUCTED IN OUR DIRECTIONS FOR USE. IT WAS ALSO REVEALED THAT THE CONSUMER IMPROPERLY STORES THE TEST STRIPS, WHICH MAY CONTRIBUTE TO A LOSS OF INTEGRITY OF THE TEST STRIPS. THE CONSUMER WAS EDUCATED ON THESE DIRECTIONS FOR USE AT THE TIME OF CALL. THE TEST STRIPS IN QUESTION WILL BE RETURNED FOR EVALUATION. | NOVA BIOMEDICAL AWAITS THE RETURN OF THE DEVICE FOR EVALUATION. SHOULD ANY SIGNIFICANT FINDINGS BE A RESULT OF THAT INVESTIGATION, A FOLLOW-UP REPORT WILL BE FILED."
3004193489-2009-00110,20090612,Other,NOVA MAX GLUCOSE MONITOR,GLUCOSE MONITOR,NA,Device Expiration Issue; High Test Results,"NOVA BIOMEDICAL AWAITS THE RETURN OF THE DEVICE FOR EVALUATION. SHOULD ANY SIGNIFICANT FINDINGS BE A RESULT OF THAT INVESTIGATION, A FOLLOW-UP REPORT WILL BE FILED. | IT WAS REPORTED TO NOVA BIOMEDICAL THAT A CONSUMER CONTINUED TO ADMINISTER INSULIN BASED ON READINGS OBTAINED ON THEIR BLOOD GLUCOSE METER. THE CONSUMER SUBSEQUENTLY EXPERIENCED A HYPOGLYCEMIC EVENT THAT DID NOT REQUIRE MEDICAL INTERVENTION. DURING THE CALL TO A CUSTOMER SUPPORT, IT WAS REVEALED THAT THE CONSUMER USED EXPIRED CONTROL SOLUTION ON THE TEST STRIPS TO DETERMINE THEIR INTEGRITY AND ACCURACY. THE CONSUMER WAS EDUCATED ON THESE DIRECTIONS FOR USE AT THE TIME OF CALL. THE TEST STRIPS WILL BE RETURNED FOR EVALUATION."
3004193489-2009-00115,20090612,Other,NOVAMAX LINK GLUCOSE MONITOR,GLUCOSE MONITOR,NA,High Test Results,"IT WAS REPORTED TO NOVA BIOMEDICAL THAT A CONSUMER RECEIVED A RESULT OF 193 MG/DL ON THEIR BLOOD GLUCOSE METER. YET EXPERIENCED A HYPOGLYCEMIC EVENT REQUIRING MEDICAL INTERVENTION. EMTS TREATED THE CONSUMER AT HIS HOME. THE METER AND TEST STRIPS IN QUESTION WILL BE RETURNED FOR EVALUATION. | NOVA BIOMEDICAL AWAITS THE RETURN OF THE DEVICE FOR EVALUATION. SHOULD ANY SIGNIFICANT FINDINGS BE A RESULT OF THAT INVESTIGATION, A FOLLOW-UP REPORT WILL BE FILED."
3004193489-2009-00114,20090612,Other,NOVAMAX LINK GLUCOSE MONITOR,GLUCOSE MONITOR,NA,Use of Device Problem,"IT WAS REPORTED TO NOVA BIOMEDICAL THAT A CONSUMER EXPERIENCED A HYPOGLYCEMIC EVENT REQUIRING MEDICAL INTERVENTION. DURING THE CALL TO CUSTOMER SUPPORT, IT WAS REVEALED THAT THE CONSUMER DOES NOT CONTROL SOLUTION TEST THEIR TEST STRIPS FOR INTEGRITY BEFORE USE. THE CONSUMER WAS EDUCATED ON THESE DIRECTIONS FOR USE AT THE TIME OF CALL. THE METER IN QUESTION WILL BE RETURNED FOR EVALUATION. THE CONSUMER USED UP ALL THE TEST STRIPS. | NOVA BIOMEDICAL AWAITS THE RETURN OF THE DEVICE FOR EVALUATION. SHOULD ANY SIGNIFICANT FINDINGS BE A RESULT OF THAT INVESTIGATION, A FOLLOW-UP REPORT WILL BE FILED."
3004193489-2009-00113,20090612,Other,NOVA MAX GLUCOSE MONITOR,GLUCOSE MONITOR,NA,Use of Device Problem; High Test Results,"NOVA BIOMEDICAL AWAITS THE RETURN OF THE DEVICE FOR EVALUATION. SHOULD ANY SIGNIFICANT FINDINGS BE A RESULT OF THAT INVESTIGATION, A FOLLOW-UP REPORT WILL BE FILED. | IT WAS REPORTED TO NOVA BIOMEDICAL THAT A CONSUMER TREATED HERSELF, IT IS UNKNOWN IF WITH INSULIN OR ORAL MEDICATION BASED ON A STORED READING OF 232 MG/DL IN THEIR BLOOD GLUCOSE METER AND NOT AN ACTUAL REAL TIME TEST RESULT. THE CONSUMER SUBSEQUENTLY EXPERIENCED A HYPOGLYCEMIC EVENT REQUIRING MEDICAL INTERVENTION. DURING THE CALL TO CUSTOMER SUPPORT, IT WAS REVEALED THAT THE CONSUMER DOES NOT CONTROL SOLUTION TEST FOR INTEGRITY BEFORE USE THEIR INITIAL TEST STRIPS AS INSTRUCTED IN OUR DIRECTIONS FOR USE. IT WAS ALSO REVEALED DURING THE CALL TO CUSTOMER SUPPORT, THE CONSUMER WAS USING THE BLOOD GLUCOSE METER INCORRECTLY. THE CONSUMER WAS PRESSING THE BUTTON ON AND RETRIEVING STORED RESULTS IN THE METER. THE CONSUMER WAS EDUCATED ON THESE DIRECTIONS FOR USE AT THE TIME OF CALL. THE METER IN QUESTION WILL BE RETURNED FOR EVALUATION, THE CONSUMER USED UP ALL THE TEST STRIPS."
3004193489-2009-00112,20090612,Other,NOVA MAX GLUCOSE MONITOR,GLUCOSE MONITOR,NA,Improper or Incorrect Procedure or Method,"IT WAS REPORTED TO NOVA BIOMEDICAL THAT A CONSUMER EXPERIENCED A HYPOGLYCEMIC EVENT THAT DID NOT REQUIRE ANY EMERGENCY MEDICAL INTERVENTION. DURING THE CALL TO CUSTOMER SUPPORT, IT WAS REVEALED THAT THE CONSUMER DOES NOT CONTROL SOLUTION TEST FOR INTEGRITY BEFORE USE OF THEIR INITIAL TEST STRIPS AS INSTRUCTED IN OUR DIRECTIONS FOR USE. THE CONSUMER WAS EDUCATED ON THESE DIRECTIONS FOR USE AT THE TIME OF CALL. THE METER AND TEST STRIPS IN QUESTION WILL BE RETURNED FOR EVALUATION. | NOVA BIOMEDICAL AWAITS THE RETURN OF THE DEVICE FOR EVALUATION. SHOULD ANY SIGNIFICANT FINDINGS BE A RESULT OF THAT INVESTIGATION, A FOLLOW-UP REPORT WILL BE FILED."
3004193489-2009-00116,20090612,Other,NOVAMAX LINK GLUCOSE MONITOR,GLUCOSE MONITOR,NA,Improper or Incorrect Procedure or Method; Incorrect Or Inadequate Test Results,"IT WAS REPORTED TO NOVA BIOMEDICAL THAT A CONSUMER CONTINUED TO ADMINISTER INSULIN BASED ON READINGS OBTAINED ON THEIR BLOOD GLUCOSE METER. THE CONSUMER SUBSEQUENTLY EXPERIENCED A HYPOGLYCEMIC EVENT THAT DID NOT REQUIRE MEDICAL INTERVENTION. DURING THE CALL TO CUSTOMER SUPPORT, IT WAS REVEALED THAT THE CONSUMER DOES NOT CONTROL SOLUTION TEST FOR INTEGRITY BEFORE USING THEIR INITIAL TEST STRIPS AS INSTRUCTED IN OUR DIRECTIONS FOR USE. THE CONSUMER WAS EDUCATED ON THESE DIRECTIONS FOR USE AT THE TIME OF CALL. THE METER AND TEST STRIPS WILL NOT BE RETURNED FOR EVALUATION. ACCORDING TO THE CONSUMER, THEY DISCARDED THE TEST STRIPS AND THE CONSUMER REFUSES TO RETURN METER IN QUESTION. | AT THIS TIME, NOVA BIOMEDICAL WILL NOT BE GETTING ANY PRODUCT BACK FROM CONSUMER FOR EVALUATION."
3004193489-2009-00096,20090605,Other,BD PARADIGM LINK GLUCOSE MONITOR,GLUCOSE MONITOR,NA,Use of Device Problem,"IT WAS REPORTED TO NOVA BIOMEDICAL THAT A CONSUMER EXPERIENCED A HYPOGLYCEMIC EVENT REQUIRING MEDICAL INTERVENTION. DURING THE CALL TO CUSTOMER SUPPORT, IT WAS REVEALED THAT THE CONSUMER DOES NOT CONTROL SOLUTION TEST THEIR TEST STRIPS FOR INTEGRITY BEFORE USE WHICH MAY CONTRIBUTE TO A LOSS OF INTEGRITY OF TEST STRIPS. IT WAS ALSO REVEALED THAT THE CONSUMER IMPROPERLY STORES THEIR TEST STRIPS. THE CONSUMER WAS EDUCATED ON THESE DIRECTIONS FOR USE AT THE TIME OF CALL. THE METER AND TEST STRIPS IN QUESTION WILL BE RETURNED FOR EVALUATION. | NOVA BIOMEDICAL AWAITS THE RETURN OF THE DEVICE FOR EVAL. SHOULD ANY SIGNIFICANT FINDINGS BE A RESULT OF THAT INVESTIGATION, A FOLLOW-UP REPORT WILL BE FILED."
3004193489-2009-00094,20090605,Other,BD LOGIC BLOOD GLUCOSE MONITOR,GLUCOSE MONITOR,NA,Use of Device Problem; High Test Results,"IT WAS REPORTED TO NOVA BIOMEDICAL THAT A CONSUMER RECEIVED A RESULT OF 235 MG/DL ON THEIR BLOOD GLUCOSE METER AT 4AM. IT IS NOT CLEAR WHETHER OR NOT THE CONSUMER ADMINISTERED ANY MEDICATIONS BASED ON THIS RESULT. ACCORDING TO THE CONSUMER, HE EXPERIENCED A HYPOGLYCEMIC EVENT WHICH DID REQUIRE MEDICAL INTERVENTION. DURING THE CALL TO CUSTOMER SUPPORT, IT WAS REVEALED THAT THE CONSUMER DOES NOT CONTROL SOLUTION TEST THEIR TEST STRIPS FOR INTEGRITY BEFORE USE AND THE CONSUMER IMPROPERLY STORES HIS TEST STRIPS WHICH MAY CONTRIBUTE TO A LOSS OF INTEGRITY OF TEST STRIPS. THE CONSUMER WAS EDUCATED ON THESE DIRECTIONS FOR USE AT THE TIME OF CALL. THE METER AND TEST STRIPS IN QUESTION WILL BE RETURNED FOR EVAL. | NOVA BIOMEDICAL AWAITS THE RETURN OF THE DEVICE FOR EVAL. SHOULD ANY SIGNIFICANT FINDINGS BE A RESULT OF THAT INVESTIGATION, A FOLLOW-UP REPORT WILL BE FILED."
3004193489-2009-00088,20090605,Other,BD PARADIGM LINK GLUCOSE MONITOR,GLUCOSE MONITOR,NA,Improper or Incorrect Procedure or Method,"NOVA BIOMEDICAL AWAITS THE RETURN OF THE DEVICE FOR EVAL. SHOULD ANY SIGNIFICANT FINDINGS BE A RESULT OF THAT INVESTIGATION, A FOLLOW-UP REPORT WILL BE FILED. | IT WAS REPORTED TO NOVA BIOMEDICAL THAT A CONSUMER RECEIVED A READING OF 407 MG/DL ON THEIR BLOOD GLUCOSE METER. THE CONSUMER ADMINISTERED 1.5 UNITS OF INSULIN AND SUBSEQUENTLY EXPERIENCED A HYPOGLYCEMIC EVENT WHICH DID NOT REQUIRE MEDICAL INTERVENTION. DURING THE CALL TO CUSTOMER SUPPORT, IT WAS REVEALED THAT THE CONSUMER IMPROPERLY STORES THE TEST STRIPS WHICH MAY CONTRIBUTE TO A LOSS OF INTEGRITY OF TEST STRIPS. THE CONSUMER WAS EDUCATED ON THESE DIRECTIONS FOR USE AT THE TIME OF CALL."
3004193489-2009-00087,20090605,Other,BD PARADIGM LINK GLUCOSE MONITOR,GLUCOSE MONITOR,NA,Improper or Incorrect Procedure or Method,"IT WAS REPORTED TO NOVA BIOMEDICAL THAT A CONSUMER RECEIVED A RESULT OF ""HI"" (GREATER THAN 600 MG/DL) ON THEIR BLOOD GLUCOSE METER. THE CONSUMER ADMINISTERED 1.5 UNITS OF INSULIN BASED ON THAT HIGH READING AND SUBSEQUENTLY EXPERIENCED A HYPOGLYCEMIC EVENT, WHICH DID NOT REQUIRE MEDICAL INTERVENTION. DURING THE CALL TO CUSTOMER SUPPORT, IT WAS REVEALED THAT THE CONSUMER IMPROPERLY STORES THE TEST STRIPS WHICH MAY CONTRIBUTE TO A LOSS OF INTEGRITY OF TEST STRIPS. THE CONSUMER WAS EDUCATED ON THESE DIRECTIONS FOR USE AT THE TIME OF CALL. THE METER IN QUESTION WILL BE RETURNED FOR EVALUATION. THE TEST STRIPS IN QUESTION WILL NOT BE RETURNED AS THEY WERE ALL USED UP BY THE CONSUMER. | NOVA BIOMEDICAL AWAITS THE RETURN OF THE DEVICE FOR EVAL. SHOULD ANY SIGNIFICANT FINDINGS BE A RESULT OF THAT INVESTIGATION, A FOLLOW-UP REPORT WILL BE FILED."
3004193489-2009-00103,20090605,Other,NOVA MAX GLUCOSE MONITOR,GLUCOSE MONITOR,NA,Improper or Incorrect Procedure or Method,"IT WAS REPORTED TO NOVA BIOMEDICAL THAT A CONSUMER CONTINUED TO ADMINISTER INSULIN BASED ON READINGS ON THEIR BLOOD GLUCOSE METER. THE CONSUMER SUBSEQUENTLY EXPERIENCED A HYPOGLYCEMIC EVENT REQUIRING MEDICAL INTERVENTION. DURING THE CALL TO CUSTOMER SUPPORT, IT WAS REPORTED THAT THE CONSUMER IMPROPERLY STORES THEIR TEST STRIPS, WHICH MAY CONTRIBUTE TO THE LOSS OF INTEGRITY OF THE TEST STRIPS. THE CONSUMER WAS EDUCATED ON THESE DIRECTIONS FOR USE AT THE TIME OF CALL. THE METER IN QUESTION WILL BE RETURNED FOR EVAL. THE TEST STRIPS WERE EITHER LOST OR DISCARDED BY THE CONSUMER. | NOVA BIOMEDICAL AWAITS THE RETURN OF THE DEVICE FOR EVAL. SHOULD ANY SIGNIFICANT FINDINGS BE A RESULT OF THAT INVESTIGATION, A FOLLOW-UP REPORT WILL BE FILED."
3004193489-2009-00102,20090605,Other,NOVA MAX GLUCOSE MONITOR,GLUCOSE MONITOR,NA,Improper or Incorrect Procedure or Method,"IT WAS REPORTED TO NOVA BIOMEDICAL THAT A CONSUMER CONTINUED TO ADMINISTER INSULIN BASED ON READINGS ON THEIR BLOOD GLUCOSE METER. THE CONSUMER SUBSEQUENTLY EXPERIENCED A HYPOGLYCEMIC EVENT REQUIRING MEDICAL INTERVENTION. DURING THE CALL TO CUSTOMER SUPPORT, THAT THE CONSUMER IMPROPERLY STORES THEIR TEST STRIPS, WHICH MAY CONTRIBUTE TO THE LOSS OF INTEGRITY OF THE TEST STRIPS. THE CONSUMER WAS EDUCATED ON THESE DIRECTIONS FOR USE AT THE TIME OF CALL. THE METER IN QUESTION WILL BE RETURNED FOR EVALUATION. THE TEST STRIPS WERE EITHER LOST OR DISCARDED BY THE CONSUMER. | NOVA BIOMEDICAL AWAITS THE RETURN OF THE DEVICE FOR EVALUATION. SHOULD ANY SIGNIFICANT FINDINGS BE A RESULT OF THAT INVESTIGATION, A FOLLOW-UP REPORT WILL BE FILED."
3004193489-2009-00101,20090605,Other,NOVA MAX GLUCOSE MONITOR,GLUCOSE MONITOR,NA,Improper or Incorrect Procedure or Method,"IT WAS REPORTED TO NOVA BIOMEDICAL THAT A CONSUMER CONTINUED TO ADMINISTER INSULIN BASED ON A READING ON THEIR BLOOD GLUCOSE METER. THE CONSUMER SUBSEQUENTLY EXPERIENCED A HYPOGLYCEMIC EVENT REQUIRING MEDICAL INTERVENTION. THIS IS THE SECOND EVENT THE CONSUMER EXPERIENCED ON (B)(6) 2009 AND IS BEING REPORTED AS TWO EVENTS. DURING THE CALL TO CUSTOMER SUPPORT, THAT THE CONSUMER IMPROPERLY STORES THEIR TEST STRIPS, WHICH MAY CONTRIBUTE TO THE LOSS OF INTEGRITY OF THE TEST STRIPS. THE CONSUMER WAS EDUCATED ON THESE DIRECTIONS FOR USE AT THE TIME OF CALL. THE METER IN QUESTION WILL BE RETURNED FOR EVALUATION. THE TEST STRIPS WERE EITHER LOST OR DISCARDED BY THE CONSUMER. | NOVA BIOMEDICAL AWAITS THE RETURN OF THE DEVICE FOR EVALUATION. SHOULD ANY SIGNIFICANT FINDINGS BE A RESULT OF THAT INVESTIGATION, A FOLLOW-UP REPORT WILL BE FILED."
